City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,-0.21,69,20,1.03,AR,1722879065
1,margaret river,-33.95,115.0667,16.11,84,64,7.45,AU,1722879159
2,coahuayana de hidalgo,18.7,-103.6583,33.01,53,72,2.41,MX,1722879160
3,conde,-7.2597,-34.9075,28.7,51,40,7.2,BR,1722878811
4,shalkar,47.8288,59.6258,31.77,25,62,6.97,KZ,1722879162
5,tsiombe,-25.3,45.4833,18.84,80,19,2.04,MG,1722878598
6,banff,51.1762,-115.5698,17.65,67,1,2.06,CA,1722879164
7,iskateley,67.6803,53.1512,9.2,75,4,6.84,RU,1722878642
8,port-aux-francais,-49.35,70.2167,0.79,69,18,4.99,TF,1722879167
9,lewistown,40.5992,-77.5714,32.3,76,0,3.6,US,1722879168
10,pandan,14.0453,124.1694,26.93,86,100,3.66,PH,1722879170
11,adamstown,-25.066,-130.1015,19.28,65,32,5.6,PN,1722879171
12,palmares do sul,-30.2578,-50.5097,20.05,86,98,1.66,BR,1722878953
13,talnakh,69.4865,88.3972,9.42,64,0,2.08,RU,1722878600
14,kodiak,57.79,-152.4072,11.73,100,100,8.75,US,1722879174
15,san pedro pochutla,15.7333,-96.4667,32.62,59,32,2.48,MX,1722879175
16,usinsk,65.9939,57.5281,13.73,59,100,6.92,RU,1722878753
17,bilibino,68.0546,166.4372,2.2,71,99,1.75,RU,1722879178
18,kanniyakumari,8.0833,77.5667,26.03,79,98,8.3,IN,1722879179
19,tazovsky,67.4667,78.7,8.67,66,97,6.22,RU,1722879180
20,atafu village,-8.5421,-172.5159,28.1,75,86,3.2,TK,1722879181
21,isafjordur,66.0755,-23.124,11.02,76,75,7.2,IS,1722879182
22,puerto ayora,-0.7393,-90.3518,24.98,77,71,5.28,EC,1722879184
23,wailua homesteads,22.0669,-159.378,25.24,82,0,5.14,US,1722878498
24,ilulissat,69.2167,-51.1,8.01,76,20,2.57,GL,1722879186
25,nar'yan-mar,67.6713,53.087,7.76,80,4,6.01,RU,1722879187
26,bethel,41.3712,-73.414,30.84,56,0,1.54,US,1722878974
27,blackmans bay,-43.0167,147.3167,9.85,75,96,0.89,AU,1722879189
28,georgetown,5.4112,100.3354,28.96,77,20,2.06,MY,1722879191
29,puerto natales,-51.7236,-72.4875,0.25,86,40,3.09,CL,1722879192
30,vorgashor,67.5833,63.95,7.18,69,11,4.12,RU,1722879193
31,port elizabeth,-33.918,25.5701,12.16,62,0,4.12,ZA,1722879194
32,east london,-33.0153,27.9116,11.52,66,0,4.12,ZA,1722879083
33,papatowai,-46.5619,169.4708,5.07,85,15,3.31,NZ,1722879196
34,meadow lake,34.8014,-106.5436,31.58,37,1,4.94,US,1722879198
35,lazaro cardenas,17.9583,-102.2,29.35,68,100,1.83,MX,1722878931
36,stanley,54.868,-1.6985,22.62,77,75,3.09,GB,1722879200
37,snihurivka,47.0758,32.8052,25.5,28,47,4.2,UA,1722879201
38,leava,-14.3,-178.1667,26.12,82,33,7.23,WF,1722879202
39,edinburgh of the seven seas,-37.0676,-12.3116,13.78,90,69,12.41,SH,1722879204
40,longyearbyen,78.2186,15.6401,10.91,76,20,7.72,SJ,1722879205
41,cobh,51.8572,-8.2992,17.58,77,75,4.12,IE,1722879206
42,cabedelo,-6.9811,-34.8339,29.37,68,52,7.22,BR,1722879207
43,albany,42.6001,-73.9662,30.42,62,39,0.89,US,1722878913
44,fort st. john,56.2499,-120.8529,13.94,82,100,4.12,CA,1722879209
45,novodvinsk,64.4165,40.8122,13.86,88,100,1.78,RU,1722879211
46,shingu,33.7333,135.9833,25.14,95,53,1.38,JP,1722879212
47,namibe,-15.1961,12.1522,17.57,84,21,4.38,AO,1722879213
48,labrador city,52.9463,-66.9114,12.95,63,100,7.15,CA,1722878954
49,korem,12.5058,39.5228,15.51,82,100,0.37,ET,1722879215
50,potosi,-19.5836,-65.7531,13.48,26,20,5.14,BO,1722879218
51,yellowknife,62.456,-114.3525,19.67,61,75,4.63,CA,1722879219
52,remire-montjoly,4.9167,-52.2667,33.02,62,40,3.6,GF,1722879220
53,alice springs,-23.7,133.8833,4.75,87,0,2.57,AU,1722879221
54,tabou,4.423,-7.3528,24.96,79,67,3.43,CI,1722879223
55,west island,-12.1568,96.8225,25.99,69,82,4.12,CC,1722879224
56,arraial do cabo,-22.9661,-42.0278,28.98,61,0,6.17,BR,1722879225
57,jamestown,42.097,-79.2353,29.14,74,75,5.14,US,1722879008
58,howrah,22.5892,88.3103,28.0,94,40,2.06,IN,1722879228
59,longboat key,27.4125,-82.659,29.46,80,75,11.83,US,1722879229
60,ancud,-41.8697,-73.8203,8.12,85,100,9.59,CL,1722879142
61,greenwood,34.1668,-82.1165,31.2,65,75,3.6,US,1722879041
